msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Des Moines-West Des Moines, IA MSA",2019,19780,7442,230852,10316956,4266,132315,5913261,381894,12312,17067149,99,3,137,392,12,544,214,7,297,0,0,2,,,11,0,1103,91533,709760
"Des Moines-West Des Moines, IA MSA",2020,19780,14564,442404,20188966,10057,305500,13941391,762612,25105,34801538,149,5,207,436,13,604,219,7,304,0,0,2,,,22,0,1198,93464,709760
"Des Moines-West Des Moines, IA MSA",2021,19780,0,0,0,889,19811,1232447,26946,1209,1676367,84,2,117,211,5,293,110,2,152,,,,,,15,0,1202,71673,709760
"Detroit-Warren-Livonia, MI MSA",2019,19820,64640,2694148,258850555,21438,893519,85848236,9970105,239212,957916037,370,15,1481,1823,76,7301,2179,91,8724,0,0,7,0,0,18,1,1170,418858,4356861
"Detroit-Warren-Livonia, MI MSA",2020,19820,72723,2959766,291217422,20799,846510,83289865,11986842,294524,1179409916,543,22,2173,2015,82,8068,2454,100,9826,0,0,9,0,0,48,1,1260,428237,4356861
"Detroit-Warren-Livonia, MI MSA",2021,19820,21593,667077,86469038,8696,268655,34824127,1247552,40383,161712475,245,8,980,953,29,3817,1179,36,4722,,,,0,0,19,0,1256,317320,4356861
"Dothan, AL MSA",2019,20020,0,0,0,0,0,0,13145,336,506716,31,1,46,120,5,181,143,6,215,0,1,2,,,12,0,824,15420,150669
"Dothan, AL MSA",2020,20020,0,0,0,147,5616,221449,18351,480,723595,44,2,66,155,6,233,169,6,254,0,3,4,,,21,0,870,15776,150669
"Dothan, AL MSA",2021,20020,0,0,0,144,4008,217191,4008,144,217191,20,1,30,80,2,120,84,2,126,,,,,,12,0,878,12193,150669
"Dover, DE MSA",2019,20100,174,7195,359823,0,0,0,110624,2669,5532442,47,2,97,116,5,240,213,9,442,0,1,1,,,16,0,877,17607,182397
"Dover, DE MSA",2020,20100,318,12779,659836,0,0,0,80077,1995,4134711,66,3,136,118,5,245,242,10,501,0,1,1,,,34,0,955,18177,182397
"Dover, DE MSA",2021,20100,56,1655,115415,0,0,0,2967,100,206905,31,1,65,55,2,114,123,4,255,,,,,,25,0,954,13807,182397
"Dubuque, IA MSA",2019,20220,0,0,0,0,0,0,6411,220,300082,7,0,9,7,0,9,0,0,0,0,1,1,,,11,0,909,13481,98419
"Dubuque, IA MSA",2020,20220,0,0,0,0,0,0,2973,102,140090,10,0,13,10,0,13,10,0,13,0,1,1,,,23,0,968,13571,98419
"Dubuque, IA MSA",2021,20220,0,0,0,0,0,0,1243,58,79559,10,0,13,9,0,12,5,0,7,,,,,,16,0,952,10371,98419
"Duluth, MN-WI MSA",2019,20260,0,0,0,691,27728,659952,103359,2576,2460013,61,2,58,244,10,233,43,2,41,0,1,3,,,16,0,911,28944,290263
"Duluth, MN-WI MSA",2020,20260,0,0,0,6274,249912,5990828,539029,13533,12921452,81,3,77,256,10,244,54,2,52,0,1,3,,,30,0,967,29153,290263
"Duluth, MN-WI MSA",2021,20260,0,0,0,1882,55271,1797245,108431,3693,3525890,40,1,38,106,3,101,38,1,36,,,,,,16,0,987,22243,290263
"Durham, NC MSA",2019,20500,3000,129723,11887637,2514,108692,9960373,890874,20603,81638514,74,3,294,291,13,1154,269,12,1067,0,1,7,0,0,13,0,1271,60119,649857
"Durham, NC MSA",2020,20500,2424,98673,9603664,4409,179510,17471407,1550161,38075,150874317,110,4,436,314,13,1246,301,12,1191,0,1,7,0,0,25,0,1409,63851,649857
"Durham, NC MSA",2021,20500,834,24350,3305999,9,252,34170,595440,20402,80843638,51,1,202,146,4,578,140,4,554,,,,0,0,15,0,1439,50114,649857
"Eau Claire, WI MSA",2019,20740,0,0,0,0,0,0,194481,5162,13024714,11,0,27,27,1,67,14,1,36,0,1,1,,,13,0,878,18219,171573
"Eau Claire, WI MSA",2020,20740,0,0,0,0,0,0,993038,26703,67374858,17,1,43,22,1,56,14,1,36,0,1,1,,,23,0,945,18458,171573
"Eau Claire, WI MSA",2021,20740,0,0,0,0,0,0,66554,2478,6251663,11,0,28,11,0,28,7,0,18,,,,,,13,0,948,14375,171573
"El Centro, CA MSA",2019,20940,16109,366219,42686473,16061,365122,42558546,381872,16798,44511024,13,0,35,25,1,67,52,1,137,0,0,1,,,83,1,801,31711,180185
"El Centro, CA MSA",2020,20940,21141,465732,56020206,21103,464878,55917467,475248,21573,57164906,18,0,48,31,1,83,48,1,126,0,0,1,,,90,1,880,32718,180185
"El Centro, CA MSA",2021,20940,3758,61832,9957328,3758,61832,9957328,65699,3993,10580080,7,0,19,14,0,38,26,0,70,,,,,,69,1,899,24639,180185
"El Paso, TX MSA",2019,21340,66220,3618527,87503312,331,18060,436738,3797334,69493,91827220,275,15,364,824,45,1089,1654,90,2185,0,1,6,,,15,0,771,63067,861549
"El Paso, TX MSA",2020,21340,110929,5992370,146580813,227,12248,299594,6328969,117160,154814439,333,18,440,746,40,986,1612,87,2130,0,1,7,,,33,0,829,63797,861549
"El Paso, TX MSA",2021,21340,69807,2753689,92243122,163,6425,215226,2947979,74733,98751434,138,5,183,360,14,476,705,28,932,,,,,,26,0,838,49144,861549
"Elizabethtown, KY MSA",2019,21060,0,0,0,160,6933,310453,1103831,25444,49431289,29,1,56,65,3,126,41,2,80,,,,,,16,0,826,14331,155421
"Elizabethtown, KY MSA",2020,21060,0,0,0,95,4011,185269,9321737,221655,430624321,38,2,74,93,4,181,50,2,98,,,,,,28,0,876,14787,155421
"Elizabethtown, KY MSA",2021,21060,0,0,0,0,0,0,1479196,48633,94483483,19,1,36,39,1,76,22,1,42,,,,,,17,0,886,11498,155421
"Elkhart-Goshen, IN MSA",2019,21140,0,0,0,389,16935,1547665,292581,6727,26738425,7,0,27,19,1,74,5,0,18,,,,,,12,0,928,19009,206701
"Elkhart-Goshen, IN MSA",2020,21140,0,0,0,672,28749,2671274,286894,6706,26657333,11,0,44,19,1,77,8,0,31,,,,,,31,0,1007,19327,206701
"Elkhart-Goshen, IN MSA",2021,21140,0,0,0,0,0,0,48088,1529,6078802,5,0,20,11,0,42,5,0,18,,,,,,11,0,1126,14791,206701
"Elmira, NY MSA",2019,21300,0,0,0,0,0,0,418,10,11024,3,0,4,23,1,27,20,1,23,,,,,,16,0,923,7604,83461
